# DExtra_Hosts.txt 
# NO9S 06/29/2020 Additional information at end of file
XRF266  aderdigital.ddns.net
XRF000	xrf000.xlxreflector.org
XRF001 xlx001.homepc.it
XRF002	xrf002.dstar.club
XRF003	xrf003.iw0red.it
XRF004	44.103.34.3
XRF005	ve3tnk.homelinux.net 
XRF006	xrf006.xrefl.net
XRF007	xrf007.xreflector.es
XRF008	95.110.231.219 
XRF009	www.hamtalk.net 
XRF010	162.243.74.151
XRF011	87.106.3.249 
XRF012	xrf012.papasys.com
XRF014	xrf014.iz0rin.it
XRF015	xrf015.theapplecore.me
XRF016	xrf016.xreflector-jp.org
XRF017	87.253.159.114 
XRF018	199.167.129.166 
XRF019	xlx019.ok2it.com 
XRF020	xrf020.k2ie.net 
XRF021	xlx.projekt-pegasus.net
XRF022	xrf022.tms-it.net
XRF023	141.75.245.225 
XRF024	xlx024.dyndns.org
XRF025	63.133.189.2
XRF026	24.233.121.226
XRF027	194.116.29.78
XRF029	029.r2i.net
XRF030	xrf030.oe3xht.at
XRF031	kg0sky.duckdns.org 
XRF032	158.64.26.140
XRF033	46.226.178.81 
XRF034	dcs034.xreflector.net
XRF035	45.79.94.184
XRF036	xrf036.ddns.net
XRF037	xrf037.selfip.net 
XRF038	44.103.34.19 
XRF039	collector.webandcloud.net
XRF040	109.71.45.29
XRF041	167.88.37.80 
XRF043	xrf043.aotnet.it
XRF044	xlx044.va3uv.com 
XRF047 xlx047.ddns.net
XRF048	048.ds6.com
XRF051	xlx051-ea5spain.duckdns.org
XRF052 xrf052.mydns.jp
XRF054	52.86.180.251
XRF055	52.80.4.154 
XRF057	xlx057.ddns.net
XRF058	xrf058.xreflector-jp.org
XRF061 xlx.mb7vf.u
XRF062	70.88.145.163
XRF063	162.248.141.148
XRF064 xrf064.owari.biz
XRF065	xlx065.homeip.net
XRF067	xrf067.f5kav.org
XRF068	92.222.145.202
XRF069	xlx069.sustrai.org
XRF070	xrf070.iptime.org
XRF071	xrf071.dv.or.kr
XRF072	xlx072-n0mis.ddns.net
XRF073	147.102.7.34 
XRF074	xrf074.dyndns.org
