# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File created at Tuesday 30th of June 2020 12:12:16 PM BST
REF000	45.56.118.86
REF001	104.237.157.7
REF002	184.187.108.18
REF003	203.194.18.195
REF004	44.103.34.20
REF005	146.112.61.108
REF006	81.2.72.40
REF007	81.2.72.55
REF008	58.12.161.10
REF009	204.89.198.18
REF010	12.178.74.6
REF011	195.78.217.101
REF012	209.112.244.26
REF013	109.69.104.195
REF014	64.250.229.185
REF015	109.69.104.196
REF016	67.210.212.136
REF017	80.69.86.233
REF018	179.191.73.102
REF019	209.242.228.27
REF020	52.23.107.220
REF021	192.3.202.54
REF022	52.32.64.78
REF023	44.190.8.2
REF024	69.41.0.15
REF025	107.161.29.191
REF026	206.12.104.8
REF027	194.116.29.72
REF028	193.190.240.229
REF029	129.123.74.229
REF030	45.79.43.161
REF031	79.136.93.241
REF032	95.160.56.46
REF033	192.92.237.247
REF034	74.81.71.218
REF035	146.129.247.243
REF036	195.194.238.109
REF037	66.158.192.62
REF038	44.103.34.18
REF039	208.93.191.20
REF040	94.46.216.197
REF041	129.105.15.195
REF042	151.249.104.38
REF043	176.10.140.189
REF044	208.43.162.89
REF045	195.251.201.214
REF046	173.230.131.217
REF047	157.7.142.13
REF048	208.88.66.244
REF049	72.249.9.66
REF050	75.147.26.195
REF051	50.57.153.17
REF052	12.5.239.46
REF053	216.243.174.245
REF054	52.86.120.0
REF055	207.251.48.194
REF056	45.56.113.164
REF058	131.204.255.253
REF059	104.131.247.122
REF060	50.194.6.1
REF061	204.152.199.103
REF062	72.17.20.174
REF063	66.207.131.4
REF064	61.195.99.81
REF065	74.207.252.19
REF066	173.255.196.45
REF067	44.34.128.167
REF068	92.222.145.197
REF069	184.185.89.43
REF070	44.10.10.20
REF071	61.195.97.218
REF072	96.92.65.12
REF073	68.67.124.145
REF074	68.67.124.146
REF075	51.254.220.4
REF076	203.137.112.200
REF077	50.116.34.190
REF078	204.15.204.154
REF079	62.255.210.254
REF080	82.223.13.53
REF081	172.104.92.125
REF082	106.240.237.114
REF083	168.235.103.26
REF084	51.254.120.143
REF085	203.74.132.35
REF086	216.126.221.240
REF087	119.59.116.122
REF088	192.155.95.29
REF089	68.49.95.72
REF090	96.47.95.67
REF091	103.251.175.56
REF092	104.200.25.53
REF093	185.177.59.221
REF095	203.137.76.53
REF097	80.211.154.173
REF098	221.170.106.162
REF099	80.211.27.75
REF100	45.62.224.191
REF101	45.62.245.46
REF102	45.79.220.142
REF103	45.62.242.91
REF104	50.116.38.232
REF105	51.254.99.78
REF106	69.163.163.88
REF108	126.73.37.198
REF109	218.221.166.79
REF110	113.145.160.103
REF111	61.195.96.160
REF112	104.148.41.57
REF115	217.182.128.3
REF116	80.211.90.242
REF117	201.217.131.107
REF118	5.249.148.252
REF119	218.144.164.13
REF120	81.150.10.63
REF121	3.214.173.78
REF123	200.61.178.98
REF124	211.14.169.234
REF125	213.181.208.52
REF126	217.173.179.95
REF129	124.27.91.25
REF130	194.59.177.45
REF131	80.127.118.226
REF132	91.203.55.87
REF133	81.174.3.170
REF134	69.195.135.164
REF139	66.42.92.79
REF140	95.211.211.145
REF141	3.19.122.217
REF143	54.169.145.70
REF144	54.188.28.93
REF145	70.15.39.11
REF146	213.7.197.202
REF150	192.241.158.197
REF151	94.254.105.236
REF160	61.195.109.179
REF170	218.144.164.10
REF171	220.71.19.222
REF173	68.10.121.14
REF175	162.248.92.25
REF176	128.22.152.69
REF180	192.241.240.7
REF183	45.32.75.47
REF185	89.215.13.208
REF190	190.194.12.53
REF191	153.92.4.97
REF192	118.27.9.127
REF194	80.211.99.53
REF196	64.179.223.222
REF199	153.126.179.214
REF200	62.171.191.147
REF201	157.245.45.67
REF202	81.231.241.25
REF204	82.171.119.45
REF205	12.202.202.19
REF206	193.190.240.227
REF207	150.129.138.49
REF208	51.178.80.187
REF210	104.167.102.44
REF211	47.110.34.230
REF212	52.38.90.188
REF213	190.213.202.21
REF214	185.47.129.230
REF215	108.61.75.164
REF216	74.214.25.135
REF219	68.134.78.63
REF220	124.41.83.11
REF222	185.227.110.247
REF224	203.137.99.97
REF225	61.195.108.252
REF227	89.33.44.100
REF228	85.2.74.150
REF229	194.191.4.54
REF230	80.250.3.114
REF231	51.254.206.201
REF232	89.185.97.35
REF234	160.16.58.180
REF240	107.141.52.226
REF241	51.83.98.154
REF244	72.14.187.79
REF246	172.93.48.159
REF250	44.159.15.2
REF252	108.61.216.100
REF254	184.82.172.134
REF255	142.91.158.199
REF256	162.238.214.18
REF258	45.22.199.202
REF260	80.211.208.227
REF262	92.192.44.119
REF263	85.214.92.118
REF264	52.2.131.118
REF266	aderdigital.ddns.net
REF268	194.38.140.204
REF270	158.64.26.132
REF272	69.164.222.129
REF275	128.22.129.98
REF277	63.78.117.77
REF280	79.30.6.49
REF284	85.187.70.88
REF287	66.42.109.165
REF290	44.182.7.20
REF291	101.143.242.189
REF295	64.137.161.161
REF298	219.107.102.84
REF299	203.86.194.92
REF300	45.62.247.43
REF301	124.187.44.129
REF302	144.217.241.23
REF303	75.70.52.143
REF305	178.250.54.203
REF307	72.21.76.154
REF312	192.241.160.183
REF313	34.213.108.164
REF314	186.19.139.15
REF315	65.101.7.50
REF316	68.102.131.54
REF317	44.48.8.15
REF319	140.186.202.60
REF321	31.207.110.45
REF322	76.219.234.40
