# M17Hosts.txt generated hourly from https://m17project.org/m17refl.json
M17-033,https://m17-033.dyndns.org/,46.226.178.84,none,17000,IW5EDX,Italy
M17-190,https://m17.argentina-room.dns-cloud.net/,190.194.12.53,none,17000,Argentina Room,Argentina
M17-214,https://214.m17.es/,157.52.252.143,none,17000,Digital Sustrai,Spain
M17-222,https://m17-222.iu0krr.it/M17-222/,80.211.107.181,none,17000,RedNet IU0KRR,Italy
M17-224,https://eamaster.xreflector.es/m17/,94.177.189.17,none,17000,DMRPlus Spain,Spain
M17-ARG,https://m17arg.ddns.net,152.170.70.57,none,17000,LU8ANB Argentina Multiprotocolo,Argentina
M17-AUT,https://m17-aut.xreflector.net/,195.25.215.5,none,17000,OE1KBC,Austria
M17-BEL,https://on0lg.no-ip.org/m17bel/,51.68.226.67,none,17000,UBA,Belgium
M17-BRA,https://m17bra.ddns.net/m17,187.108.0.156,none,17000,Daniel PU5KOD,Brazil
M17-BRO,https://m17-bro.dudetronics.com/,68.37.44.22,none,17000,AD8DP,United States
M17-CAD,https://castellar.m17.es/m17/,80.211.226.37,none,17000,RC Castellar,Spain
M17-DEU,https://m17-deu.xreflector.net/,194.59.205.228,none,17000,DG9FFM,Germany
M17-EA1,https://eadistrito1.m17.es/m17/,80.211.29.226,none,17000,DMRPlus EA1,Spain
M17-EA2,https://ea2bkh.m17.es/m17/,104.148.41.57,none,17000,ARSA,Spain
M17-EA3,https://ea2bkh.m17.es/m17/,62.171.178.202,none,17000,ADER,Spain
M17-EA4,https://ea4rcr.m17.es/m17/,212.237.0.67,none,17000,REM ESP,Spain
M17-EA8,https://ea8ee.m17.es/m17/,164.132.96.157,none,17000,BM Spain,Spain
M17-EA7,https://rcveleta.xreflector.es/,207.180.252.141,none,17000,Radio Club Veleta,Spain
M17-ESP,https://m17spa.xreflector.es/,5.249.148.156,none,17000,EA7IYR,Spain
M17-GAX,https://ea4gax.es/M17,51.83.78.210,none,17000,EA4GAX,Spain
M17-GBR,https://www.roip.network/m17/,144.91.99.196,none,17000,RoIP Network,Great Britan
M17-ITA,https://m17ita.hblink.it/,80.211.190.216,none,17000,IV3JDV,Italy
M17-ITD,https://m17.digitalham.it,188.213.168.69,none,17000,IU7MNA,Italy
M17-JPN,https://m17.f5.si/,111.64.9.80,none,17000,Kanazawa VoIP Reflector Club,Japan
M17-KOR,https://m17-kor.dvham.com/,222.110.59.176,none,17000,DMR KOREA,Korea
M17-KP4,https://kp4ca-m17.ddns.net/,45.76.8.78,none,17000,KP4CA,Puerto Rico
M17-LAT,https://latinos.m17.es/,134.73.55.72,none,17000,Entrelaces Latinos,United States
M17-LDV,https://ldv.m17.es/m17,80.211.99.134,none,17000,ARI Vinci,Italy
M17-LOM,https://m17-lom.myddns.me:24033/,82.60.24.178,none,17000,HBLink Italia,Italy
M17-M17,https://refl.m17.link/,51.81.119.111,2604:2dc0:100:23a6::1212,17000,M17 Project,United States
M17-NOR,https://m17.la2k.no/,185.35.185.100,none,17000,LA2K,Norway
M17-PLG,https://xrf245.pennlinkgroup.com/mrefd/,54.85.206.3,none,17000,Penn Link Group,United States
M17-POL,https://m17.hblink.network/,77.55.209.188,none,17000,SP7LAK,Poland
M17-POR,https://m17.hamradio.pt/,80.211.15.21,none,17000,CT7AGI,Portugal
M17-SAL,https://m17sal.m17.es/,31.14.139.112,none,17000,URE Salamanca,Spain
M17-SKY,https://m17.skyhublink.com/,65.114.195.171,none,17000,SKYHUBLINK SYSTEM,United States
M17-SPA,https://hblinkspain.duckdns.org/mrefd/,85.255.8.71,none,17000,EA5GVK,Spain
M17-THA,https://m17.dprns.com/,203.150.19.24,none,17000,HS5TQA,Thailand
M17-TKO,https://ah-huh.net/m17/,52.192.129.174,none,17000,ah-huh.net,Japan
M17-UK1,http://45.58.139.108/,45.58.139.108,none,17000,2E0LXY,United Kingdom
M17-URG,https://m17-uruguay.ddns.net/m17/,201.217.131.108,none,17000,Uruguay Link,Uruguay
M17-USA,https://m17-usa.openquad.net/,3.138.122.152,2600:1f16:d6f:600:20eb:5765:b94c:aebb,17000,Openquad,United States
M17-ZO9,https://m17zona9.duckdns.org/,198.245.55.177,none,17000,IT Zonanove,Italy
